id,listing_url,scrape_id,last_scraped,source,name,description,neighborhood_overview,picture_url,host_id,host_url,host_name,host_since,host_location,host_about,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_thumbnail_url,host_picture_url,host_neighbourhood,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,availability_eoy,number_of_reviews_ly,estimated_occupancy_l365d,estimated_revenue_l365d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
2992450,https://www.airbnb.com/rooms/2992450,20250502031400,2025-05-02,city scrape,Luxury 2 bedroom apartment,"The apartment is located in a quiet neighborhood . Fully furnished. Linens and towels are provided. It's two blocks away from downtown Albany, and the Palace theater.",,https://a0.muscache.com/pictures/44627226/0e72c75c_original.jpg,4621559,https://www.airbnb.com/users/show/4621559,Kenneth,2013-01-07,"New York, NY",I am a real down to earth & cool person.,within a day,100%,50%,f,https://a0.muscache.com/im/users/4621559/profile_pic/1363081467/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/4621559/profile_pic/1363081467/original.jpg?aki_policy=profile_x_medium,,1,5,"['email', 'phone']",t,t,,THIRD WARD,,42.65789,-73.7537,Entire rental unit,Entire home/apt,4,1.0,1 bath,2,2,"[""Heating"", ""TV with standard cable"", ""Carbon monoxide alarm"", ""Kitchen"", ""Wifi"", ""Smoke alarm"", ""Essentials"", ""Air conditioning""]",$70.00,28,1125,28,28,1125,1125,28.0,1125.0,,t,0,0,0,32,2025-05-02,9,0,0,0,0,0,0,2014-07-01,2022-08-17,3.56,3.44,3.56,4.22,4.56,3.22,3.67,,f,1,1,0,0,0.07
3820211,https://www.airbnb.com/rooms/3820211,20250502031400,2025-05-02,city scrape,Restored Precinct in Center Sq. w/Parking,"Cozy, cool little 1BR Apt in the heart Albany's Center Sq. close to everything.  Enjoy the hip, walking neighborhood and verdant Washington Park in a neighborhood with great eats, architecture and culture... Everything you need down to the corkscrew.","Great restaurants, architecture, walking, people watching and arts.",https://a0.muscache.com/pictures/prohost-api/Hosting-3820211/original/7a087429-5f8f-4c7f-990a-291a82b784dc.jpeg,19648678,https://www.airbnb.com/users/show/19648678,Terra,2014-08-07,,"I'm from Kansas City, MO. I've driven the entire US, logging over a  million miles on a 10 year working road trip. I settled in Albany, NY, a hardworking, no-nonsense sort of town, drenched in history, education and politics. I love this town not just for the town itself as much as the location. It's truly a sportsman's(sportswoman's) paradise, while being so close to very civilized civilization. There's easy access to NYC, Saratoga, Lake George, Vermont, Montreal & my favorite The Berkshires in Massachusetts.  ",within an hour,100%,93%,t,https://a0.muscache.com/im/users/19648678/profile_pic/1407449767/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/19648678/profile_pic/1407449767/original.jpg?aki_policy=profile_x_medium,Center Square & Hudson/Park,4,7,"['email', 'phone']",t,t,Neighborhood highlights,SIXTH WARD,,42.65222,-73.76724,Entire rental unit,Entire home/apt,2,1.0,1 bath,1,1,"[""Iron"", ""HDTV with standard cable, Apple TV"", ""Coffee maker"", ""Shampoo"", ""Refrigerator"", ""Essentials"", ""Cooking basics"", ""Self check-in"", ""Kitchen"", ""Pets allowed"", ""Hangers"", ""Free dryer \u2013 In unit"", ""Keypad"", ""Stove"", ""Fire extinguisher"", ""Free washer \u2013 In unit"", ""Smoke alarm"", ""Hair dryer"", ""Free parking on premises"", ""Microwave"", ""Heating"", ""Carbon monoxide alarm"", ""Oven"", ""Hot water"", ""Wifi"", ""Central air conditioning"", ""Dishwasher"", ""Dishes and silverware""]",$102.00,2,1125,2,3,1125,1125,2.8,1125.0,,t,3,33,63,334,2025-05-02,308,7,0,213,15,42,4284,2014-08-15,2025-03-29,4.75,4.89,4.87,4.85,4.81,4.83,4.78,,f,4,4,0,0,2.36
5651579,https://www.airbnb.com/rooms/5651579,20250502031400,2025-05-02,city scrape,Large studio apt  by Capital Center & ESP@,"Spacious studio with hardwood floors, fully equipped kitchen, clean and bright. Large modern bath .  Full Cable TV and WiFi. Walking distance to the new Renaissance Hotel.<br />Walk to everything downtown! The Empire Plaza  and the Egg are  across the street.You can't get any closer, to the MVP Arena,  as well as Restaurants, bars, churches. Walk to  Capital and the new Capital Convention Center. Laundry facilities in the apartment","The neighborhood is very eclectic. We have a variety of restaurants, markets and shopping along with cultural things to do . the Capital is within a five minute walk as is the Empire Plaza. We have Cafe Capricio on Grand St for great northern Italian. Down the street we also have a traditional well known Italian restaurant Lombardos, for great red sauce. There are plenty of small cafe/ bars within walking distance too",https://a0.muscache.com/pictures/b3fc42f3-6e5e-4704-9d0f-8ceee5d32046.jpg,29288920,https://www.airbnb.com/users/show/29288920,Gregg,2015-03-13,"Albany, NY",I am an Albany native .I have lived in Ireland and had a B & B in Tramore County Waterford back in the early nineties. While doing so we met a lot of wonderful people. I have been in the real estate business for over 30 years . I believe in keeping the mind and body fit. I am easy going and love a good laugh. ,within an hour,100%,99%,t,https://a0.muscache.com/im/users/29288920/profile_pic/1426286865/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/29288920/profile_pic/1426286865/original.jpg?aki_policy=profile_x_medium,,2,2,"['email', 'phone', 'work_email']",t,t,Neighborhood highlights,SECOND WARD,,42.64615,-73.75966,Entire rental unit,Entire home/apt,2,1.0,1 bath,0,1,"[""Iron"", ""Luggage dropoff allowed"", ""Coffee maker"", ""Shampoo"", ""Refrigerator"", ""Long term stays allowed"", ""Essentials"", ""Cooking basics"", ""Self check-in"", ""Kitchen"", ""Hangers"", ""Free dryer \u2013 In unit"", ""TV"", ""Bed linens"", ""Lockbox"", ""Backyard"", ""Stove"", ""Fire extinguisher"", ""Free washer \u2013 In unit"", ""Private entrance"", ""Smoke alarm"", ""Air conditioning"", ""Hair dryer"", ""Free parking on premises"", ""Microwave"", ""Heating"", ""Dedicated workspace"", ""Carbon monoxide alarm"", ""Oven"", ""Hot water"", ""Wifi"", ""Free street parking"", ""Dishes and silverware""]",$75.00,2,45,1,2,1125,1125,1.3,1125.0,,t,1,1,6,6,2025-05-02,371,28,0,6,38,168,12600,2015-05-08,2025-02-16,4.51,4.62,4.45,4.81,4.88,4.76,4.64,,f,2,1,1,0,3.05
6623339,https://www.airbnb.com/rooms/6623339,20250502031400,2025-05-02,city scrape,Center Sq. Loft in Converted Precinct w/ Parking,"Large renovated 1 bedroom apartment in converted police precinct with original tin ceilings. Center Square-the ""village in the city."" Located in a restored police precinct, you are within walking distance of everything, including verdant Washington Park, restaurants and pubs of Lark St., the state capitol, downtown, Albany Med/Law/Pharmacy.","Located in Albany's finest urban neighborhood, bordering on beautiful Washington Park and funky Lark Street with its many shops and restaurants,. The building is a walking distance to downtown, the Capitol, Albany Med, Albany Law, and SUNY Albany. Literally only steps to all of life's needs.",https://a0.muscache.com/pictures/prohost-api/Hosting-6623339/original/fe9b077d-2c75-458d-a4c1-71fed46d598a.jpeg,19648678,https://www.airbnb.com/users/show/19648678,Terra,2014-08-07,,"I'm from Kansas City, MO. I've driven the entire US, logging over a  million miles on a 10 year working road trip. I settled in Albany, NY, a hardworking, no-nonsense sort of town, drenched in history, education and politics. I love this town not just for the town itself as much as the location. It's truly a sportsman's(sportswoman's) paradise, while being so close to very civilized civilization. There's easy access to NYC, Saratoga, Lake George, Vermont, Montreal & my favorite The Berkshires in Massachusetts.  ",within an hour,100%,93%,t,https://a0.muscache.com/im/users/19648678/profile_pic/1407449767/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/19648678/profile_pic/1407449767/original.jpg?aki_policy=profile_x_medium,Center Square & Hudson/Park,4,7,"['email', 'phone']",t,t,Neighborhood highlights,SIXTH WARD,,42.65222,-73.76724,Entire rental unit,Entire home/apt,2,1.0,1 bath,1,1,"[""Iron"", ""Coffee maker"", ""Shampoo"", ""Refrigerator"", ""Essentials"", ""Cooking basics"", ""Self check-in"", ""Kitchen"", ""Washer"", ""Patio or balcony"", ""Hangers"", ""Keypad"", ""Bed linens"", ""Extra pillows and blankets"", ""Stove"", ""Private entrance"", ""Smoke alarm"", ""Air conditioning"", ""Hair dryer"", ""Free parking on premises"", ""Microwave"", ""Heating"", ""Dryer"", ""TV with standard cable"", ""Carbon monoxide alarm"", ""Oven"", ""Hot water"", ""Wifi"", ""Free street parking"", ""Dishwasher"", ""Dishes and silverware""]",$96.00,2,1125,1,3,1125,1125,2.8,1125.0,,t,4,4,30,305,2025-05-02,331,16,0,184,22,96,9216,2015-06-07,2025-02-09,4.73,4.83,4.71,4.82,4.7,4.8,4.72,,f,4,4,0,0,2.74
9005989,https://www.airbnb.com/rooms/9005989,20250502031400,2025-05-02,city scrape,"Studio in The heart of Center SQ, in Albany NY","(21 years of age or older ONLY) NON- SMOKING.. NO PARTIES Allowed.  Cozy basement apartment in a historic brownstone in the heart of ""Center Square"".  Surrounded by shops, restaurants, and night life. Walking distance to Albany Med, State Offices, The State Capital, and The Empire State Plaza. 30 mins from Saratoga Raceway. 50 mins from Lake George. 1/2 mile Palace theater","There are many shops, restaurants, bars, museums, and concert venues within walking distance of the apartment! The City’s largest park, Washington Park, is less than one block away!  Many State offices and Government buildings are also in close proximity.",https://a0.muscache.com/pictures/d242a77e-437c-4d0a-9029-005a05f8d282.jpg,17766924,https://www.airbnb.com/users/show/17766924,Sugey,2014-07-07,"Albany, NY","",within an hour,100%,100%,t,https://a0.muscache.com/im/pictures/user/ae311d04-cbca-423a-aa92-8a4b3d6997de.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/ae311d04-cbca-423a-aa92-8a4b3d6997de.jpg?aki_policy=profile_x_medium,,1,1,"['email', 'phone']",t,t,Neighborhood highlights,SIXTH WARD,,42.65559,-73.76506,Entire rental unit,Entire home/apt,4,1.0,1 bath,1,2,"[""Window AC unit"", ""Coffee maker"", ""Shampoo"", ""Refrigerator"", ""Long term stays allowed"", ""Essentials"", ""Cooking basics"", ""Self check-in"", ""Conditioner"", ""Pack \u2019n play/Travel crib"", ""Kitchen"", ""Pets allowed"", ""Portable fans"", ""Shower gel"", ""Hangers"", ""Keypad"", ""TV"", ""Bed linens"", ""Stove"", ""Fire extinguisher"", ""Private entrance"", ""Smoke alarm"", ""Hair dryer"", ""Microwave"", ""Heating"", ""Carbon monoxide alarm"", ""Oven"", ""Hot water"", ""Wifi"", ""Free street parking"", ""Laundromat nearby"", ""Dishwasher"", ""Dishes and silverware""]",$88.00,1,1125,1,1,1125,1125,1.0,1125.0,,t,23,51,76,167,2025-05-02,617,29,1,77,31,174,15312,2016-08-07,2025-04-13,4.79,4.86,4.83,4.95,4.93,4.87,4.78,,f,1,1,0,0,5.80
9501054,https://www.airbnb.com/rooms/9501054,20250502031400,2025-05-02,city scrape,Spacious suite with full bath by Capital  Center,"Great location within walking distance to the Capital. It is a good size bedroom with WiFi internet . Private full bath.  We provide in the room a small refrigerator, Microwave ,coffee pot,iron ,hair dryer and  TV. Lots of entertainment nearby. Brew pubs, restaurants, the NYS Museum. Governor's Mansion. Washington Park.Capital Rep Theater as well as the Palace Theater.","The place is located in the Historic Mansion neighborhood . It""s  a great mix of people , close to everything there is to see and do in downtown Albany. Walk to the Governors Mansion, The new Capital Center Convention Center, The Times Union Center for entertainment , and all sorts of culinary delights. Plenty of brew pubs and Italian restaurants",https://a0.muscache.com/pictures/45153167-d704-48ed-9320-ab2f139bd352.jpg,29288920,https://www.airbnb.com/users/show/29288920,Gregg,2015-03-13,"Albany, NY",I am an Albany native .I have lived in Ireland and had a B & B in Tramore County Waterford back in the early nineties. While doing so we met a lot of wonderful people. I have been in the real estate business for over 30 years . I believe in keeping the mind and body fit. I am easy going and love a good laugh. ,within an hour,100%,99%,t,https://a0.muscache.com/im/users/29288920/profile_pic/1426286865/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/29288920/profile_pic/1426286865/original.jpg?aki_policy=profile_x_medium,,2,2,"['email', 'phone', 'work_email']",t,t,Neighborhood highlights,SECOND WARD,,42.64734,-73.75851,Private room in rental unit,Private room,2,1.0,1 private bath,1,2,"[""Iron"", ""Mini fridge"", ""Window AC unit"", ""Coffee maker"", ""Shampoo"", ""Refrigerator"", ""Long term stays allowed"", ""Essentials"", ""Self check-in"", ""Lock on bedroom door"", ""Portable fans"", ""Shower gel"", ""Hangers"", ""Bed linens"", ""Lockbox"", ""Private entrance"", ""Smoke alarm"", ""Hair dryer"", ""Microwave"", ""Heating"", ""Dedicated workspace"", ""TV with standard cable"", ""Carbon monoxide alarm"", ""Hot water"", ""Wifi"", ""Free street parking"", ""Laundromat nearby"", ""Dishes and silverware""]",$52.00,1,60,1,1,60,60,1.0,60.0,,t,11,25,52,52,2025-05-02,415,36,2,52,42,216,11232,2016-02-02,2025-04-25,4.56,4.72,4.51,4.84,4.86,4.76,4.67,,f,2,1,1,0,3.69
10768745,https://www.airbnb.com/rooms/10768745,20250502031400,2025-05-02,city scrape,Alb hospital area studio bath wifi. (Red),Spacious warm studio in 1840 house close to hospitals and downtown. Own bath flat screen cable tv wireless internet ground floor. Double bed coffee tea fridge microwave and parking. Suit 1. On park walk to post office cvs Chinese sports bar. Comfortable and decorated with taste. Irish host,,https://a0.muscache.com/pictures/aa3b62f5-fbd8-4afd-8104-b93a8711d80f.jpg,5691268,https://www.airbnb.com/users/show/5691268,Elizabeth,2013-03-30,"Albany, NY",I'm Irish living in Albany NY.  I have 3 grown up kids.  I have 2 chihuauas    I am visiting Toronto to meet my sister and nephew who are visiting from Ireland.  Don't smoke or drink just love my dogs!,within a few hours,100%,95%,t,https://a0.muscache.com/im/pictures/user/d34e69f3-8c6e-48e7-b3f5-c2d42939675a.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/d34e69f3-8c6e-48e7-b3f5-c2d42939675a.jpg?aki_policy=profile_x_medium,,2,3,"['email', 'phone']",t,t,,FOURTEENTH WARD,,42.66078,-73.80553,Private room in guest suite,Private room,1,1.0,1 private bath,1,1,"[""Iron"", ""Single level home"", ""Window AC unit"", ""Ethernet connection"", ""Shampoo"", ""Refrigerator"", ""Essentials"", ""Self check-in"", ""Lock on bedroom door"", ""Patio or balcony"", ""Hangers"", ""Bed linens"", ""Lockbox"", ""Smoke alarm"", ""Hair dryer"", ""Free parking on premises"", ""Microwave"", ""Heating"", ""Dedicated workspace"", ""TV with standard cable"", ""Carbon monoxide alarm"", ""Hot water"", ""Wifi""]",$47.00,1,1125,1,1,1125,1125,1.0,1125.0,,t,12,34,57,144,2025-05-02,782,132,6,144,128,255,11985,2016-02-05,2025-04-14,4.82,4.89,4.78,4.93,4.88,4.92,4.91,,f,2,0,2,0,6.95
11253948,https://www.airbnb.com/rooms/11253948,20250502031400,2025-05-02,city scrape,/Fire Place Bungalow\ 1917 SUNY Eagle 6Beds 2Baths,"Cute single family bungalow (1200sqft) in a convenient location with the lots of restaurants, bars and shops right around the corner. <br /><br />Totally renovated with open floor plan.<br /><br />77” 2023 LG B3 OLED TV  just added to living room with Sonos surround + sub!<br /><br />3 Bedrooms with 1 King bed, 2 Queen beds, 1 Full sized bed and 2 airbeds can be added upon request.  Easy Parking two lane driveway by house.<br /><br />$50 pet fee, please inquire before booking, thank you!","The super convenient area is one of the big selling points for this house.   <br /><br />On the South side of Western we have in order from East to West:<br />V Salon, All Saints Catholic Church, CVS, Dragon City Restaurant, Torino Pizza & Pasta, Mani de Leo Hair Salon, Fiorello Bakery & Deli, Courtney's Salon, DC's Pizza, Maggie's Sports Bar & Cafe, Roman Jewels, Pixie Hair Salon, Barcelona Restaurant-Wine Bar, KeyBank, CityLine Bar and Grill, Escape Smoke Shop, Best Western Hotel, Casa Real Mexican Restaurant, Days Inn, Dunkin Donuts, Across the Street Pub and Restaurant, Starbucks.<br /><br />On the North side of Western we have in order from East to West:<br />Sunoco Gas, University Plaza (Rite Aid, PizzaHut, DiBella's Subs, Boston Market, Wine & Liquor, Uncommon Grounds Coffee & Bagels, Pet Supplies Plus, Subway, Mobile Gas, Mobile Mart), University of Albany, Miami Sun Tanning.<br /><br />Best Western Hotel and a Days Inn are less than a 7min walk from the house so any additional",https://a0.muscache.com/pictures/f0e43651-0834-4cbd-9d7d-72ef465a316d.jpg,4259750,https://www.airbnb.com/users/show/4259750,Peter,2012-11-27,"Albany, NY","I was born in Poland but grew up in NY and now i'm back in NY after grad school in Europe.  I love sailing, flying gliders, hiking, hammocks, cycling, photography, travel, minimalism, tennis,  podcasts, biohacking and my KJV.  I started traveling airbnb during my time in Europe and now I’m a host in NY! 
Listings:
airbnb.com/h/38eden
airbnb.com/h/55eden
airbnb.com/h/18home
airbnb.com/h/24miller
airbnb.com/h/24eden
airbnb.com/h/433western",within an hour,100%,90%,t,https://a0.muscache.com/im/pictures/user/cca29440-809e-4dcd-a844-221898102fa5.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/cca29440-809e-4dcd-a844-221898102fa5.jpg?aki_policy=profile_x_medium,Pine Hills,9,14,"['email', 'phone']",t,t,Neighborhood highlights,FIFTEENTH WARD,,42.67567,-73.82438,Entire place,Entire home/apt,10,2.0,2 baths,3,4,"[""Books and reading material"", ""Iron"", ""Luggage dropoff allowed"", ""Essentials"", ""Babysitter recommendations"", ""Toaster"", ""Game console"", ""Keypad"", ""Extra pillows and blankets"", ""Private entrance"", ""Board games"", ""Free parking on premises"", ""Cleaning products"", ""Outdoor furniture"", ""Coffee"", ""Window AC unit"", ""Refrigerator"", ""Hot water kettle"", ""Barbecue utensils"", ""Self check-in"", ""Conditioner"", ""Pack \u2019n play/Travel crib"", ""GE stainless steel gas stove"", ""Private backyard \u2013 Not fully fenced"", ""Portable fans"", ""Wine glasses"", ""Sonos sound system with Bluetooth and aux"", ""Garden view"", ""Fire extinguisher"", ""Free washer \u2013 In unit"", ""Body soap"", ""Smoke alarm"", ""Microwave"", ""Wifi"", ""Dishes and silverware"", ""Safe"", ""Coffee maker"", ""Indoor fireplace: gas"", ""Cleaning available during stay"", ""Baking sheet"", ""65 inch HDTV with Roku, premium cable, Amazon Prime Video, standard cable, Apple TV, Netflix, Hulu"", ""First aid kit"", ""Pets allowed"", ""High chair"", ""Ceiling fan"", ""Room-darkening shades"", ""Bed linens"", ""Hair dryer"", ""Fire pit"", ""Sun loungers"", ""Stainless steel oven"", ""Rice maker"", ""Free street parking"", ""Laundromat nearby"", ""Dishwasher"", ""Baby bath"", ""Ethernet connection"", ""Shampoo"", ""Long term stays allowed"", ""Exterior security cameras on property"", ""Cooking basics"", ""Freezer"", ""Drying rack for clothing"", ""Kitchen"", ""Shower gel"", ""Hangers"", ""Private patio or balcony"", ""Free dryer \u2013 In unit"", ""Baby safety gates"", ""Outlet covers"", ""Bathtub"", ""BBQ grill"", ""Clothing storage: walk-in closet and wardrobe"", ""Dining table"", ""Heating"", ""Dedicated workspace"", ""Carbon monoxide alarm"", ""Hot water"", ""Outdoor dining area"", ""Blender""]",$213.00,1,1124,1,2,1124,1124,1.3,1124.0,,t,19,39,64,327,2025-05-02,185,31,2,207,34,186,39618,2016-05-29,2025-04-16,4.96,4.93,4.98,4.99,4.96,4.95,4.87,,f,9,9,0,0,1.70
11639446,https://www.airbnb.com/rooms/11639446,20250502031400,2025-05-02,city scrape,$55twin($30 foreign student)FreeBF Noa/c no smoke,"Regular breakfast free<br /><br />Lunch packed $5<br />Dinner Plate $10<br /><br />We updated cleaning protocol because of COVID-19 pandemic<br /><br />OUR PRIORITY IS ORGANIC LIFE SO OTHER THING IS LESS IMPORTANT <br />FREE LAUNDRY <br />AIR CONDITIONING <br />No parking space on premises just street parking<br />.<br />Internet High speed WiFi,<br />This building is 100 years older.<br />We don't use chemical pesticides ,chemical cleaning stuff.We use Vinegar,baking powder,biological pesticides .<br />Therefore not fancy clea",One block away to unique organic honest weigh Co Op<br />One block away to shop rite<br />One block away to Central Avenue<br />Street parking,https://a0.muscache.com/pictures/1129f67c-dfb2-4a2c-bb1d-914a3245d600.jpg,61700428,https://www.airbnb.com/users/show/61700428,Abdullah,2016-03-05,"Albany, NY","Guest's satisfaction and happiness is much more important than money!
顾客的满意远比赚钱重要!我的初衷是帮助更多的人､服务更多的人~
We provide emotional comfort more than physically comfortable
我们提供的情感舒适度超过身体舒适度.",N/A,N/A,50%,f,https://a0.muscache.com/im/pictures/user/fcc2b09f-611c-457c-828b-43336a05dfae.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/fcc2b09f-611c-457c-828b-43336a05dfae.jpg?aki_policy=profile_x_medium,,2,2,"['email', 'phone']",t,t,Neighborhood highlights,ELEVENTH WARD,,42.67583,-73.78297,Private room in home,Private room,1,1.5,1.5 shared baths,0,1,"[""Books and reading material"", ""Breakfast"", ""Shampoo"", ""Refrigerator"", ""Long term stays allowed"", ""Essentials"", ""Cooking basics"", ""Free dryer \u2013 In building"", ""Dishes and silverware"", ""Conditioner"", ""Kitchen"", ""First aid kit"", ""Hangers"", ""Host greets you"", ""Smoke alarm"", ""Free washer \u2013 In building"", ""Hair dryer"", ""Clothing storage: closet"", ""Microwave"", ""Heating"", ""Carbon monoxide alarm"", ""Oven"", ""Hot water"", ""Gas stove"", ""Wifi"", ""Free street parking"", ""Dishwasher"", ""Safe""]",$55.00,15,112,15,15,112,112,15.0,112.0,,t,30,60,90,365,2025-05-02,231,0,0,244,2,0,0,2016-05-31,2024-02-29,4.81,4.87,4.37,4.94,4.96,4.52,4.87,,f,2,0,2,0,2.13
12284708,https://www.airbnb.com/rooms/12284708,20250502031400,2025-05-02,city scrape,"Well Lit Modern Room, Perfect Location Albany","Single family home with driveway close to Albany Med, St. Peter’s, St. Rose, U Albany, CDTA public transport, restaurants, downtown, and nightlife.","BBQ spot directly across from house.<br />Convenience store with everything you would need at corner, next to BBQ spot.",https://a0.muscache.com/pictures/0adcd911-d1ad-4faf-af01-749343697b5d.jpg,36438637,https://www.airbnb.com/users/show/36438637,Chad,2015-06-22,"Albany, NY","",within an hour,100%,100%,,https://a0.muscache.com/im/pictures/user/b3382f39-e130-4af4-b2b6-b755d0a79db8.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/b3382f39-e130-4af4-b2b6-b755d0a79db8.jpg?aki_policy=profile_x_medium,,15,15,"['email', 'phone']",t,t,Neighborhood highlights,TENTH WARD,,42.65912,-73.78349,Private room in home,Private room,2,1.0,1 shared bath,1,1,"[""Books and reading material"", ""Iron"", ""Mini fridge"", ""Luggage dropoff allowed"", ""Window AC unit"", ""Refrigerator"", ""Long term stays allowed"", ""Essentials"", ""Toaster"", ""Cooking basics"", ""Freezer"", ""Self check-in"", ""Baking sheet"", ""Lock on bedroom door"", ""Kitchen"", ""First aid kit"", ""Hangers"", ""Free dryer \u2013 In unit"", ""Keypad"", ""TV"", ""Free driveway parking on premises"", ""Bathtub"", ""Bed linens"", ""Coffee maker: drip coffee maker, Keurig coffee machine"", ""Stove"", ""Fire extinguisher"", ""Free washer \u2013 In unit"", ""Smoke alarm"", ""Hair dryer"", ""Clothing storage: closet"", ""Microwave"", ""Dining table"", ""Central heating"", ""Dedicated workspace"", ""Carbon monoxide alarm"", ""Oven"", ""Hot water"", ""Wifi"", ""Free street parking"", ""Cleaning products"", ""Blender"", ""Shared backyard \u2013 Fully fenced"", ""Dishwasher"", ""Dishes and silverware""]",$41.00,18,365,18,18,1125,1125,18.0,1125.0,,t,0,0,0,243,2025-05-02,61,0,0,122,0,0,0,2016-05-23,2019-10-26,4.61,4.75,4.46,4.86,4.81,4.73,4.68,,t,4,0,4,0,0.56
